user_id,username,first_bot_flag,last_rights_change
3658625.0,Synthebot,20070330025733,20140708121004
2842385.0,Botx,20070404224137,20110711222245
2913411.0,DarioBot~enwiki,20070404224139,20140708185115
3923034.0,Madhubot,20070405124131,20140708185446
3864603.0,Fettgesicht,20070405183539,20110711222038
3364885.0,AlexNewArtBot,20070406141654,20130529191040
4056354.0,YonaBot,20070408021315,20110711223820
3455576.0,Staeckerbot,20070409035153,20140708185500
3729175.0,BrownBot,20070410222918,20070410222918
,Nono_le_petit_robot~enwiki,20070413170558,20110711222202
4005189.0,SieBot,20070413170629,20140708121130
4114706.0,Phe-bot,20070413181637,20140708235429
,Rick_Bot,20070415125935,20070415125935
4048622.0,COIBot,20070416151223,20200206072539
4102994.0,MartinBotIV,20070416151306,20140708184710
4099039.0,VVVBot,20070422061700,20140708185751
4082686.0,ToePeu.bot,20070429213706,20150724201556
4080734.0,BotMultichill,20070429213819,20070429213819
4112738.0,Gerakibot,20070501151655,20140708121635
4189014.0,JabbaTheBot,20070503185640,20080619043701
,VshBot,20070507132928,20070507132928
4198854.0,QualiaBot,20070509135434,20140708185959
,Le_Pied-bot~enwiki,20070509135436,20150724201653
4215433.0,BotCompuGeek,20070509135438,20110711222556
,Android_Mouse_Bot,20070512025320,20100808012756
1248477.0,NedBot,20070512025323,20140708185657
4133660.0,GeorgeMoneyBot,20070512025327,20140708190003
4238630.0,StatisticianBot,20070512160100,20190523202319
3755266.0,Sumibot,20070512160318,20110711222918
4313723.0,PolarBot,20070513140723,20140708184717
4260898.0,Mr.Z-bot,20070513140738,20190523202334
,Android_Mouse_Bot_2,20070513191534,20100808012808
,HBC_NameWatcherBot,20070517151226,20161203171814
4433364.0,EdBot,20070519130655,20080619042924
,Android_Mouse_Bot_3,20070521124008,20100808012817
3951437.0,AccReqBot,20070521124117,20161203171406
4424264.0,Byrialbot,20070525121754,20110711223442
4470916.0,Aksibot,20070526011405,20110711222859
4373711.0,ArkyBot,20070526011430,20140708190025
3573773.0,UncatTemplateBot,20070527133404,20140708184650
4499599.0,ENewsBot,20070527133451,20150811231619
4293505.0,Rabbot,20070529122204,20140708184654
4328888.0,Hxhbot,20070529122221,20140708131209
4502708.0,DinoSizedBot,20070529122225,20110711223506
4262501.0,Tuonela,20070529225007,20080916132458
4536516.0,BenoniBot~enwiki,20070602130754,20140708185124
,Android_Mouse_Bot_4,20070602130931,20100808012827
4477315.0,Polbot,20070602131110,20140708235925
4534303.0,PbBot,20070604215830,20140708190046
,HermesBot,20070604215906,20070604215906
4556419.0,AMbot,20070607054651,20180626134431
4530215.0,DeadBot,20070607055110,20140708185107
,R_Delivery_Bot,20070607055235,20140708184725
4579728.0,AutocracyBot,20070607055332,20140708185137
,OsamaKBOT,20070607055442,20070607055442
,HBC_RenameClerkBot,20070608005026,20100810224227
4568569.0,Seedbot,20070612154022,20140708185133
4598477.0,MadmanBot,20070612154031,20190406225452
4490213.0,RBSpamAnalyzerBot,20070626140327,20080314015130
4719670.0,TypoBot,20070628150551,20140708185431
,Anchor_Link_Bot,20070628150658,20110711223030
2910286.0,IdeoBot,20070628150718,20071201015708
4899241.0,WOPR~enwiki,20070630132656,20070630132656
,EBot2,20070705121434,20070705121434
4496512.0,EBot,20070705121942,20140709101315
,Animum_Delivery_Bot,20070705122532,20070705122532
4773966.0,JL-Bot,20070709133058,20070709133058
4696832.0,SpebiBot,20070711202223,20110711223128
4540091.0,Stwalkerbot,20070711202248,20140709114758
4559826.0,SpellCheckerBot,20070711202301,20110711222752
4790146.0,NrhpBot,20070712200448,20110711223148
4790306.0,EchoBot,20070717141058,20080115025953
4729200.0,BoxCrawler,20070725045755,20140708235937
4796444.0,KiloBot,20070726184242,20080115030021
4870335.0,Cherybot,20070727170515,20140708185653
4709323.0,OverlordQBot,20070728072452,20140709000309
4806773.0,Chem-awb,20070728154158,20070728154158
,MessedRobot_II,20070729055123,20070729055123
,O_bot,20070729055415,20140708185201
4901395.0,WikiBotas,20070730195936,20140709000302
4984067.0,PipepBot,20070731234952,20140708190056
1590000.0,Scsbot,20070801040607,20070801040607
4851336.0,ImageRemovalBot,20070805000236,20070805000236
5020067.0,STBotI,20070805000247,20140708235856
4877205.0,EddieBot,20070807053302,20110711223417
5026080.0,GrooveBot,20070808020652,20140709000319
5014074.0,CorenSearchBot,20070809022548,20201214202640
5854123.0,SXT-404Bot,20070810010202,20070810010202
5048966.0,BoricuaBot,20070810010313,20110711224054
4594058.0,Maelgwnbot,20070810191240,20140709000358
,Chris_G_Bot,20070811234001,20090519125912
4928500.0,ClueBot,20070813015051,20161203172050
5088029.0,PhotoCatBot,20070818214045,20070818214045
4952176.0,HujiBot,20070818214053,20140708185732
5111608.0,CSDWarnBot,20070819213807,20130529191043
4936590.0,SineBot,20070819213811,20110515082520
4771395.0,RonaldBot,20070819213815,20140708185709
,HBC_AIV_helperbot4,20070819214413,20161203171421
5088811.0,VsBot,20070821082656,20130529052202
5000730.0,StatusBot,20070826222550,20110711223726
,Chris_G_Bot_2,20070828181118,20090217114230
5071263.0,ArbComBot,20070830010925,20110711223315
5213657.0,SkiersBot,20070903014757,20170605154445
,ClueBot_II,20070905021855,20110515083458
5245488.0,AlptaBot,20070906040616,20110711223749
,The_wubbot,20070908115653,20070908115653
,ZwoBot,20070908115717,20070908115717
3729068.0,BOTijo,20070908115725,20070908115725
5177705.0,Kl4m-AWB,20070911204527,20140708184721
,ClueBot_III,20070911231453,20251207062114
3991663.0,ProteinBoxBot,20070914205754,20240101192233
5316354.0,StigBot,20070914205807,20140708121105
5330542.0,PsychAWB,20070917025907,20110711223848
5277842.0,Kotbot,20070917174239,20170605154453
5149324.0,MelsaranAWB,20070920211114,20071201012750
,ClueBot_IV,20070923233102,20161203171806
5392880.0,HMBot~enwiki,20070924170705,20110711224417
5340240.0,Ficbot,20070925002026,20140708190006
5478189.0,Detroiterbot,20071005163803,20220211215258
5375009.0,ChandlerMapBot,20071005163806,20140708235842
14254930.0,SnakeBot,20071007031907,20071007031907
5478094.0,OrBot,20071007190930,20110711224309
648410.0,SundarBot,20071007190946,20140708121008
5512121.0,CapitalBot,20071007190957,20140708184733
5503687.0,CohesionBot,20071007191007,20140708235852
5145528.0,Giggabot,20071010003536,20140708190225
5508214.0,DusterBot,20071010024735,20150725092725
5493334.0,RedirectCleanupBot,20071013180946,20081216233540
5561628.0,NeraBot,20071014224508,20110711224222
4555645.0,GracenotesBot,20071014224511,20140708185156
5584160.0,PxBot,20071021001039,20080115025905
5528272.0,EagleAstroidBot,20071021001119,20110711224115
5592739.0,DeliveryBot,20071022193629,20140708190219
310830.0,Mgmbot,20071028023530,20140708184736
5642077.0,Estirabot,20071028023544,20140709101323
5570079.0,PixelBot,20071105174807,20140708121410
5679624.0,AZatBot~enwiki,20071105175840,20150724201925
,Chris_G_Bot_3,20071106023435,20090701175031
5725039.0,Jotterbot,20071106232339,20140708121626
5572102.0,CloudNineBot,20071106232350,20161203171359
2657584.0,RoboMaxCyberSem,20071110041102,20161114235716
5787719.0,SoxBot,20071117223617,20161129165814
5737366.0,BHGbot,20071118190218,20240101192510
5832219.0,AfDBot,20071124070945,20150803111134
4899266.0,MenoBot,20071124071017,20071124071017
5866303.0,ImageTaggingBot,20071124214709,20071124214709
5727164.0,ImageBacklogBot,20071124214711,20140708185504
,R._Hillgentleman,20071124214713,20140708185518
,El_bot_de_la_dieta,20071125165118,20140708185512
82928.0,Guanabot,20071201014949,20240111081158
22514.0,IsraBot,20071201014959,20071201014959
235069.0,Margosbot~enwiki,20071201015027,20071201015027
5870361.0,BOTarate,20071201183937,20110217203111
,Muro_Bot,20071205185306,20161203171919
,EBot_III,20071211235640,20140708185717
5962788.0,Redrocketbot,20071213215948,20080221173020
6014777.0,HarrivBOT,20071216231722,20140708121654
6019534.0,MelonBot,20071219010810,20140708235932
6012350.0,PaievBot,20071221110159,20140708184751
,SoxBot_II,20071224000945,20161203171730
6067097.0,MastersBot,20071229142433,20140708185104
5304551.0,ThisIsaTest,20071231043844,20080909021537
6100386.0,Darkicebot,20080102155731,20130725023137
6055023.0,UnCatBot,20080105134148,20161203171456
5980974.0,JMuniBot,20080109231715,20140708185449
6158447.0,RFRBot,20080110003558,20140708185707
4746784.0,SQLBot,20080110041217,20140708235456
,HBC_Archive_Indexerbot,20080110174835,20180526131754
6126668.0,MonoBot,20080112223904,20140708185508
