close_rev_id,page_id,close_ts,closer,close_comment
1156868269,67345433,20230525013421,Voorts,/* RfC: TC pressures and winds */ closing rfc
1159097320,46499319,20230608063526,Fieari,/* RFC: outgoing and elected MPs */ closing rfc
1159867348,103126,20230613013342,Fieari,/* RfC: Should the full lyrics be included? */ closing rfc
1162756815,6418504,20230701000211,AirshipJungleman29,/* Arrest (2023) */ closing rfc with consensus to include
1164095169,70888717,20230707224922,Voorts,"/* RFC, battle over. */ closing rfc. result = no. ([[User:DannyS712/DiscussionCloser|DiscussionCloser]] v.1.7.3)"
1167104115,71347799,20230725184030,Penguino35,/* RfC: About FIFA+ and Language Split */ Suggest closing rfc.
1170778198,44732602,20230817041024,Jc37,rfc closed
1177425877,27350498,20230927150001,Starship.paint,close rfc
1180588840,63864019,20231017160135,SandyGeorgia,/* RfC: Guaidó in the infobox 2.0 */ close rfc
1229033669,73795595,20240614134340,MDEire,closing rfcs and summarising as last comments were over two weeks ago
1269197250,65954040,20250113142248,Guninvalid,"/* RfC on whether credited name or common name should be used */ closing rfc, hopefully this one is uncontroversial 👍"
1277963818,42018591,20250227185402,Tantomile,/* RfC: Tweet Template format and branding */ closing rfc per con
1283457121,18689304,20250401165453,Chetsford,/* RfC: Should US Government Maps be used in the Geography and similar articles */ closing rfc
1291791584,79779077,20250523124752,Chetsford,/* RFC: Militant attack or Terrorist attack */ closing rfc
1311150975,81040203,20250913184148,CommunityNotesContributor,/* Remove Full Protection */ support until rfc closed
