close_rev_id,page_id,close_ts,outcome_type,closer
650677806,802827,20150309230031,stale,Legobot
650706098,59492,20150310030028,stale,Legobot
650723896,17369587,20150310070036,stale,Legobot
650728235,45329621,20150310080039,stale,Legobot
650733802,19298491,20150310090037,stale,Legobot
650819675,3984060,20150310220033,stale,Legobot
650826693,986140,20150310230028,stale,Legobot
650866849,6607870,20150311060035,stale,Legobot
650993893,2868049,20150312030032,stale,Legobot
651019509,6938374,20150312090035,stale,Legobot
651062728,13313193,20150312160035,stale,Legobot
651129615,33111197,20150313010039,stale,Legobot
651163999,45659459,20150313080039,stale,Legobot
651205886,959994,20150313160016,stale,Legobot
651298290,551885,20150314060033,stale,Legobot
651298316,30046920,20150314060048,stale,Legobot
651337261,8868504,20150314140025,stale,Legobot
651406087,2349182,20150315000039,stale,Legobot
651432473,551885,20150315040019,stale,Legobot
651437581,10821379,20150315050027,stale,Legobot
651527149,532606,20150315200027,stale,Legobot
651527168,6296098,20150315200035,stale,Legobot
651552867,198327,20150315230025,stale,Legobot
651566442,365567,20150316010027,stale,Legobot
651607781,546666,20150316090030,stale,Legobot
651633485,14695,20150316140015,stale,Legobot
651671143,213421,20150316190015,stale,Legobot
651708722,26296190,20150317000040,stale,Legobot
651776355,42255545,20150317130037,stale,Legobot
651795079,45401086,20150317160037,stale,Legobot
651901901,3147893,20150318090034,stale,Legobot
651906721,546666,20150318100021,stale,Legobot
651927745,14979497,20150318140034,stale,Legobot
651941798,17195734,20150318160027,stale,Legobot
651980491,4725720,20150318210028,stale,Legobot
651988240,4725720,20150318220025,stale,Legobot
652070113,3792872,20150319130026,stale,Legobot
652163333,498443,20150319220027,stale,Legobot
652392892,45864401,20150320010031,stale,Legobot
652495374,29113840,20150320020031,stale,Legobot
652820105,13011751,20150321020028,stale,Legobot
652841187,20394347,20150321060034,stale,Legobot
652884040,14979497,20150321150039,stale,Legobot
652926046,44472005,20150321210043,stale,Legobot
652958076,1027188,20150322020017,stale,Legobot
652978288,801706,20150322060017,stale,Legobot
652978297,24334887,20150322060028,stale,Legobot
652978300,30695898,20150322060030,stale,Legobot
653055698,18935379,20150322200035,stale,Legobot
653055717,18994525,20150322200039,stale,Legobot
653055724,19298491,20150322200042,stale,Legobot
653055767,26740553,20150322200102,stale,Legobot
653055773,39617325,20150322200105,stale,Legobot
653225557,4725720,20150323230027,stale,Legobot
653232506,4725720,20150324000040,stale,Legobot
653246745,17096166,20150324020027,stale,Legobot
653263588,449893,20150324050017,stale,Legobot
653268218,4545278,20150324060022,stale,Legobot
653285538,35389242,20150324100026,stale,Legobot
653338207,15766698,20150324180027,stale,Legobot
653378432,25514076,20150324230025,stale,Legobot
653453517,28904020,20150325130029,stale,Legobot
653480970,33125875,20150325170031,stale,Legobot
653496318,43934908,20150325190028,stale,Legobot
653601418,346804,20150326130024,stale,Legobot
653627539,297526,20150326170022,stale,Legobot
653774377,1437697,20150327170022,stale,Legobot
653795567,346804,20150327200019,stale,Legobot
653809819,986140,20150327220020,stale,Legobot
653949958,202910,20150328220026,stale,Legobot
654128460,1167923,20150330040030,stale,Legobot
654128487,46210648,20150330040042,stale,Legobot
654133792,18232516,20150330050038,stale,Legobot
655529739,233561,20150408161140,stale,Legobot
655529755,401939,20150408161147,stale,Legobot
655529773,464862,20150408161153,stale,Legobot
655529786,740315,20150408161158,stale,Legobot
655529800,1029566,20150408161201,stale,Legobot
655529810,2072126,20150408161205,stale,Legobot
655529816,2272040,20150408161207,stale,Legobot
655529832,2515853,20150408161211,stale,Legobot
655529850,3433959,20150408161217,stale,Legobot
655529872,4037838,20150408161223,stale,Legobot
655529904,4429996,20150408161232,stale,Legobot
655529950,6271158,20150408161247,stale,Legobot
655529959,6378494,20150408161249,stale,Legobot
655529964,6481247,20150408161251,stale,Legobot
655529989,7566421,20150408161259,stale,Legobot
655530001,11993715,20150408161304,stale,Legobot
655530028,18232516,20150408161312,stale,Legobot
655530054,18842214,20150408161320,stale,Legobot
655530072,21467140,20150408161325,stale,Legobot
655530081,21469768,20150408161327,stale,Legobot
655530101,26301393,20150408161335,stale,Legobot
655530136,29094992,20150408161347,stale,Legobot
655530147,30670498,20150408161350,stale,Legobot
655530157,30685266,20150408161353,stale,Legobot
655530200,41672258,20150408161404,stale,Legobot
655530226,43529737,20150408161412,stale,Legobot
655530235,45549378,20150408161415,stale,Legobot
655530242,45666717,20150408161417,stale,Legobot
655583562,793101,20150408210024,stale,Legobot
655610850,16002516,20150409010020,stale,Legobot
655710935,6820538,20150409180021,stale,Legobot
655775106,46368627,20150410030026,stale,Legobot
655780686,59492,20150410040015,stale,Legobot
655785345,46369138,20150410050024,stale,Legobot
655868763,59492,20150410190015,stale,Legobot
655868780,471042,20150410190021,stale,Legobot
655951744,26793736,20150411100026,stale,Legobot
656069568,12165764,20150412040019,stale,Legobot
656069576,14422531,20150412040021,stale,Legobot
656143276,20072123,20150412170025,stale,Legobot
656166902,4419763,20150412200018,stale,Legobot
656261942,14491792,20150413120024,stale,Legobot
656314328,36826240,20150413190926,stale,Legobot
656354213,269919,20150414000021,stale,Legobot
656474553,45650001,20150414180023,stale,Legobot
656595814,26793736,20150415120028,stale,Legobot
656638477,4221803,20150415180030,stale,Legobot
656661894,45651740,20150415210037,stale,Legobot
656738825,15283281,20150416110030,stale,Legobot
656826579,23004004,20150417000050,stale,Legobot
656845480,866788,20150417030015,stale,Legobot
656879758,3147893,20150417100022,stale,Legobot
656900917,3147893,20150417140027,stale,Legobot
656922694,24897105,20150417170030,stale,Legobot
656951747,36518096,20150417210025,stale,Legobot
656965021,44855475,20150417230032,stale,Legobot
657106043,962026,20150418230022,stale,Legobot
657130908,45666717,20150419030022,stale,Legobot
657140085,4196191,20150419050026,stale,Legobot
657205902,1272975,20150419170029,stale,Legobot
657358824,296271,20150420180027,stale,Legobot
657383239,22812077,20150420210030,stale,Legobot
657401810,11665607,20150421000041,stale,Legobot
657408484,889673,20150421010028,stale,Legobot
657427192,4725720,20150421040030,stale,Legobot
657427207,46368627,20150421040039,stale,Legobot
657440707,3691883,20150421070030,stale,Legobot
657889498,161221,20150421230022,stale,Legobot
658114683,16047429,20150422040034,stale,Legobot
658588052,2764950,20150422180053,stale,Legobot
658588162,7881362,20150422180057,stale,Legobot
658764231,535443,20150423000037,stale,Legobot
658776763,2271530,20150423020026,stale,Legobot
658823102,18978693,20150423110029,stale,Legobot
658834258,11403973,20150423130035,stale,Legobot
658848227,10362850,20150423150034,stale,Legobot
658848241,40921004,20150423150039,stale,Legobot
658939574,1723329,20150424040022,stale,Legobot
658944265,1723329,20150424050026,stale,Legobot
658949485,1723329,20150424060035,stale,Legobot
658967708,3034838,20150424100025,stale,Legobot
659007434,447513,20150424160048,stale,Legobot
659039948,17292508,20150424200029,stale,Legobot
659158341,44309036,20150425160037,stale,Legobot
659405245,17497843,20150427040033,stale,Legobot
659540625,3706897,20150427190028,stale,Legobot
659576025,18498546,20150427230025,stale,Legobot
659810438,3706897,20150429050015,stale,Legobot
659816618,425905,20150429060013,stale,Legobot
659876529,22017932,20150429140023,stale,Legobot
659956209,28734367,20150429230024,stale,Legobot
659963853,2323175,20150430000021,stale,Legobot
659971945,43419922,20150430010025,stale,Legobot
