open_rev_id,page_id,namespace,page_title,open_ts,close_ts,outcome_type,closer,duration_days
710925507,22637346,1,Yahweh,20160319220120,20160418220118,stale,Legobot,29.0
710969886,43054049,1,Hillary_Clinton_2016_presidential_campaign,20160320050128,20160419050116,stale,Legobot,29.0
710974879,18973508,1,Domestic_violence,20160320060123,20160419070118,stale,Legobot,30.0
710979600,37644021,1,2016_Republican_Party_presidential_primaries,20160320070128,,open,,
711042554,3117615,5,Article_titles,20160320170114,20160325190111,stale,Legobot,5.0
711042607,39822705,1,2013_Egyptian_coup_d'état,20160320170130,20160419170127,stale,Legobot,29.0
711132057,14968480,1,Jennifer_Lawrence,20160321020122,20160420020119,stale,Legobot,29.0
711154235,43054049,1,Hillary_Clinton_2016_presidential_campaign,20160321050123,20160419050116,stale,Legobot,28.0
711180670,6818703,1,Legacy_of_George_Washington,20160321100114,20160413230113,stale,Legobot,23.0
711211906,15221353,5,IP_block_exemption,20160321150122,20160420150119,stale,Legobot,29.0
711280535,15247310,1,Dr._Luke,20160321230121,20160420230122,stale,Legobot,30.0
711294882,570793,1,Donald_Trump,20160322010117,20240824055036,human_close,Freedom4U,3077.0
711353198,6135646,1,My_Old_Kentucky_Home,20160322110117,20160421110116,stale,Legobot,29.0
711388048,21189288,1,Engineering,20160322160119,,open,,
711428062,33999819,11,British_colonial_campaigns,20160322210122,20160421210117,stale,Legobot,29.0
711523222,3706897,4,Village_pump_(proposals),20160323120120,20161107053034,human_close,Gestrid,228.0
711550712,151679,1,National_Rifle_Association,20160323160117,20160422160111,stale,Legobot,29.0
711592464,475614,1,Chrysler,20160323200552,20160422210111,stale,Legobot,30.0
711592495,35374177,1,List_of_people_who_have_opened_the_Olympic_Games,20160323200602,20160422200116,stale,Legobot,29.0
711601875,4029417,1,YouTube,20160323210118,20160422210116,stale,Legobot,29.0
711640476,41342719,5,Drafts,20160324010119,20160423010116,stale,Legobot,29.0
711648019,986140,4,Village_pump_(policy),20160324020110,20200524064322,human_close,Mz7,1522.0
711701756,3569489,1,Nuckelavee,20160324080111,,open,,
711723553,981992,1,Schulze_method,20160324130109,20160510210114,stale,Legobot,47.0
711743391,264699,5,User_pages,20160324160110,20160423160109,stale,Legobot,29.0
711743406,39822705,1,2013_Egyptian_coup_d'état,20160324160120,20160419170127,stale,Legobot,26.0
711821889,986140,4,Village_pump_(policy),20160325030112,20200524064322,human_close,Mz7,1521.0
711988544,47692782,1,Kim_Davis,20160326050116,,open,,
711988551,49197783,1,Death_of_Syed_Hamid_Hussain,20160326050118,20160425040115,stale,Legobot,29.0
712090135,49697,5,Citing_sources,20160326220109,20160425220110,stale,Legobot,30.0
712090145,986140,4,Village_pump_(policy),20160326220114,20200524064322,human_close,Mz7,1519.0
712157516,1015853,4,Village_pump_(miscellaneous),20160327100111,20211214110114,stale,Legobot,2088.0
712179374,986140,4,Village_pump_(policy),20160327140112,20200524064322,human_close,Mz7,1518.0
712242328,1138131,1,English_Democrats,20160327230110,20160327230111,stale,Legobot,0.0
712242345,49969228,2,Leo_Bonilla/sandbox,20160327230120,,open,,
712257573,28383,1,Superman,20160328010110,,open,,
712257586,19351702,11,Edit_COI,20160328010116,20160409210118,stale,Legobot,12.0
712282465,22620069,1,Palestinian_expulsion_from_Lydda_and_Ramle,20160328050116,20160427050117,stale,Legobot,30.0
712282471,38103151,1,Al_Jazeera_America,20160328050118,20160427050120,stale,Legobot,30.0
712432776,9577382,1,Paul_Singer,20160329020115,20160915220115,stale,Legobot,170.0
712492106,3233161,1,"Paisley,_Renfrewshire",20160329120114,20160428120114,stale,Legobot,30.0
712505218,983447,5,Articles_for_deletion/Common_outcomes,20160329140110,20160428140110,stale,Legobot,30.0
712521258,449893,5,Requests_for_comment,20160329160129,20161208170128,stale,Legobot,254.0
712574157,992724,1,Smarta_tradition,20160329220112,20160428210113,stale,Legobot,29.0
712574171,45455503,1,Superdiversity,20160329220120,,open,,
712782871,1015853,4,Village_pump_(miscellaneous),20160331030112,20211214110114,stale,Legobot,2084.0
712782875,1561429,5,WikiProject_Sociology,20160331030114,,open,,
712782885,4286386,5,WikiProject_Psychology,20160331030118,,open,,
712782888,8517791,5,WikiProject_Alternative_views,20160331030119,,open,,
712782890,15612792,4,No_original_research/Noticeboard,20160331030121,20190218190130,stale,Legobot,1054.0
712782892,16002516,4,Neutral_point_of_view/Noticeboard,20160331030122,20170111030134,stale,Legobot,286.0
712782905,46997678,1,Donald_Trump_2016_presidential_campaign,20160331030128,20160430030119,stale,Legobot,29.0
712816209,47979207,1,Russian_intervention_in_the_Syrian_civil_war,20160331080123,20160430080120,stale,Legobot,29.0
712856396,986140,4,Village_pump_(policy),20160331140115,20200524064322,human_close,Mz7,1514.0
712881460,46997678,1,Donald_Trump_2016_presidential_campaign,20160331170119,20160430030119,stale,Legobot,29.0
712899768,21510088,5,Shortcut,20160331190118,,open,,
712918292,8969751,5,Independent_sources,20160331210116,20160430210114,stale,Legobot,29.0
712918298,41138874,5,Credible_claim_of_significance,20160331210120,20160419125032,human_close,Cabayi,18.0
712944869,50008549,4,Mouse!,20160401000122,,open,,
712966212,496477,1,History_of_South_America,20160401030110,20160501040113,stale,Legobot,30.0
713022045,1368974,1,Adobe_Inc.,20160401130112,20160401130114,stale,Legobot,0.0
713022059,20295957,5,WikiProject_Film/American_cinema_task_force,20160401130120,20160401130121,stale,Legobot,0.0
713051658,828353,1,Tamils,20160401170110,20160501180112,stale,Legobot,30.0
713066433,22745302,1,Christ_myth_theory,20160401190120,20160821111739,human_close,112.211.194.145,141.0
713114439,450669,1,Vedas,20160402010112,20160502000112,stale,Legobot,29.0
713168743,3252662,4,Village_pump_(technical),20160402110114,20180617130114,stale,Legobot,806.0
713186486,5418871,1,MDMA,20160402140116,20160502150114,stale,Legobot,30.0
713233220,309490,1,Bob_Ross,20160402200112,20160502230112,stale,Legobot,30.0
713256650,10822648,11,Multiple_issues,20160402230129,20160502190119,stale,Legobot,29.0
713270828,49977868,4,Related_Pages_extension/RfC,20160403010121,20160426090119,stale,Legobot,23.0
713309268,6237942,5,WikiProject_Astronomy,20160403070116,20160503070119,stale,Legobot,30.0
713320918,499934,5,Sockpuppetry,20160403090110,20160503070111,stale,Legobot,29.0
713355124,6237942,5,WikiProject_Astronomy,20160403150116,20160503070119,stale,Legobot,29.0
713355132,12451259,1,Jamalul_Kiram_III,20160403150120,,open,,
713355139,31841222,1,Muedzul_Lail_Tan_Kiram,20160403150123,,open,,
713355145,46886817,1,Ismael_Kiram_II,20160403150125,,open,,
713386897,1383833,1,Sabah,20160403190115,,open,,
713403104,5513256,5,Notability_(web),20160403210114,20160503210113,stale,Legobot,29.0
713433666,1383833,1,Sabah,20160404010112,,open,,
713523496,8010774,1,Order_of_approximation,20160404150119,20160504150114,stale,Legobot,29.0
713540929,3865224,5,Proposed_deletion,20160404170114,20160504170117,stale,Legobot,30.0
713642600,1383833,1,Sabah,20160405060113,,open,,
713642614,36054811,1,Miangas,20160405060121,,open,,
713725137,205457,1,Gödel's_incompleteness_theorems,20160405160112,,open,,
713752059,177018,1,Marlon_Brando,20160405180115,20160505180111,stale,Legobot,29.0
713768703,570793,1,Donald_Trump,20160405200116,20240824055036,human_close,Freedom4U,3062.0
713786628,7764658,5,Manual_of_Style/Icons,20160405220119,20171218200124,stale,Legobot,621.0
713804089,17210185,5,WikiProject_Politics_of_the_United_Kingdom,20160406000120,20160506000125,stale,Legobot,30.0
713842671,310468,1,Siouxsie_and_the_Banshees,20160406040114,20160506030114,stale,Legobot,29.0
713873826,47979207,1,Russian_intervention_in_the_Syrian_civil_war,20160406090125,20160430080120,stale,Legobot,23.0
713959437,5692261,1,Ted_Cruz,20160406200116,20160506210115,stale,Legobot,30.0
713976194,7289118,5,WikiProject_Tennis,20160406220117,20160506210120,stale,Legobot,29.0
714003192,18949144,1,Emmaus_Nicopolis,20160407020116,20160507020115,stale,Legobot,29.0
714046400,206814,1,Time_Person_of_the_Year,20160407090109,20160514200110,stale,Legobot,37.0
714058343,50069670,4,User_pages/RfC_for_stale_drafts_policy_restructuring,20160407110121,20160507120122,stale,Legobot,30.0
714148748,1637601,1,Bernie_Sanders,20160407230115,20160507220112,stale,Legobot,29.0
714187174,179816,1,Natalie_Portman,20160408050109,20160508050111,stale,Legobot,30.0
714205992,8843006,11,International_club_football,20160408090113,,open,,
714227500,3252662,4,Village_pump_(technical),20160408130117,20180617130114,stale,Legobot,799.0
714284745,2104016,1,India–Pakistan_wars_and_conflicts,20160408200116,20160508200115,stale,Legobot,29.0
714284751,3706897,4,Village_pump_(proposals),20160408200119,20161107053034,human_close,Gestrid,212.0
714387955,372827,1,Elton_John,20160409130113,20160409130115,stale,Legobot,0.0
714425423,34112310,13,Citation_Style_1,20160409180122,20190222195044,human_close,DannyS712,1049.0
714467366,42232208,1,2014_Russian_annexation_of_Crimea,20160409230118,20160509230120,stale,Legobot,30.0
714526926,776160,1,Maria_Sharapova,20160410090112,20160510090113,stale,Legobot,30.0
714526943,41674632,1,David_Jolly,20160410090121,20160510090122,stale,Legobot,30.0
714714250,288109,1,Palestine,20160411120114,20160511120114,stale,Legobot,30.0
714714254,1426543,11,Infobox_film,20160411120116,20190925060114,stale,Legobot,1261.0
714751768,2162822,1,Ooty,20160411170114,20160511170118,stale,Legobot,30.0
714809326,118445,5,WikiProject_Military_history,20160412000111,20170524160111,stale,Legobot,407.0
714850788,49755482,1,2016_Stanley_Cup_playoffs,20160412060118,20160512050120,stale,Legobot,29.0
714973296,30046920,1,Bitcoin,20160412230116,20160512230118,stale,Legobot,30.0
714986794,982494,1,John_Carter_(film),20160413010112,20160513010113,stale,Legobot,30.0
715026089,944341,1,Laura_Branigan,20160413080113,20160413080114,stale,Legobot,0.0
715033048,944341,1,Laura_Branigan,20160413090112,20160513100113,stale,Legobot,30.0
715129931,21279437,1,Genocides_in_history,20160413220117,20160513210118,stale,Legobot,29.0
715188036,559208,1,Kanye_West,20160414070114,20160514070113,stale,Legobot,29.0
715216063,1260607,1,Flag_of_Northern_Ireland,20160414120116,20160414120117,stale,Legobot,0.0
715222951,3706897,4,Village_pump_(proposals),20160414130118,20161107053034,human_close,Gestrid,206.0
715254224,145913,5,WikiProject_Albums,20160414170131,20160514160111,stale,Legobot,29.0
715270024,50008009,1,Education_of_the_British_royal_family,20160414190120,20160514190122,stale,Legobot,30.0
715285905,206814,1,Time_Person_of_the_Year,20160414210112,20160514200110,stale,Legobot,29.0
715339436,50008009,1,Education_of_the_British_royal_family,20160415050118,20160514190122,stale,Legobot,29.0
715371674,13336358,1,MMR_vaccine_and_autism,20160415110116,20160522103541,stale,Legobot,36.0
715422272,449893,5,Requests_for_comment,20160415180110,20161208170128,stale,Legobot,236.0
715484737,28353445,1,Hazal_Kaya,20160416030116,,open,,
715584493,2334628,1,Battle_of_Ia_Drang,20160416190117,20160522103516,stale,Legobot,35.0
715654140,2302831,1,Biodynamic_agriculture,20160417050112,20160522103513,stale,Legobot,35.0
715698459,19199704,11,By_whom,20160417130115,,open,,
715698464,21167942,11,EP,20160417130117,,open,,
715745235,6408874,1,Erwin_Mortier,20160417190119,,open,,
715801544,44636078,1,Monowheel_tractor,20160418030118,20160522103550,stale,Legobot,34.0
715910509,7657379,1,Bangladesh_genocide,20160418180116,20240307203236,human_close,AirshipJungleman29,2880.0
715927148,2794340,1,SIDS,20160418200113,,open,,
715943354,9732266,1,American_Petroleum_Institute,20160418220115,,open,,
715964816,50190657,5,Page_mover,20160419010118,20160625180121,stale,Legobot,67.0
716042286,21125532,11,Collapse_top,20160419150131,20160522103545,stale,Legobot,32.0
716074406,91220,1,Timothy_Leary,20160419190111,20160522103458,stale,Legobot,32.0
716099666,4252797,1,Electromagnetic_hypersensitivity,20160419220117,20160522103523,stale,Legobot,32.0
716144451,11637214,11,Sunni_Islam,20160420050119,20160522103540,stale,Legobot,32.0
716188757,39414851,1,Lázaro_Mangubat,20160420130117,,open,,
716293421,3433959,1,United_States,20160420230116,20160522103518,stale,Legobot,31.0
716318380,2302831,1,Biodynamic_agriculture,20160421030114,20160522103513,stale,Legobot,31.0
716348365,50008009,1,Education_of_the_British_royal_family,20160421070121,20160514190122,stale,Legobot,23.0
716424242,11117538,5,Special:Preferences,20160421180113,20160522103539,stale,Legobot,30.0
716424247,11117538,5,Special:Preferences,20160421180114,20160522103539,stale,Legobot,30.0
716424244,11117538,5,Special:Preferences,20160421180114,20160522103539,stale,Legobot,30.0
716432162,33023136,1,Google_Street_View_coverage,20160421190118,,open,,
716503967,45605351,1,To_Pimp_a_Butterfly,20160422030116,20160522103552,stale,Legobot,30.0
716582983,2100637,11,Psychology_sidebar,20160422150113,20160522140117,stale,Legobot,29.0
716590386,433351,1,Lyndon_LaRouche,20160422160114,20160522160115,stale,Legobot,30.0
716605154,39490770,1,"Boycott,_Divestment_and_Sanctions",20160422180118,20160522103548,stale,Legobot,29.0
716790448,1698018,1,Bochasanwasi_Akshar_Purushottam_Swaminarayan_Sanstha,20160423220115,20160523220119,stale,Legobot,30.0
716803160,1199524,1,Pantomime,20160424000114,,open,,
716859013,2698574,1,CinemaScope,20160424100111,20160524100115,stale,Legobot,30.0
717029232,150162,1,Axl_Rose,20160425090110,,open,,
717045749,19605797,1,Yuan_dynasty,20160425120119,20160524050118,stale,Legobot,28.0
717083579,49108507,1,ExxonMobil_climate_change_denial,20160425170116,,open,,
717175669,49317831,1,Resting_bitch_face,20160426050117,20160526050118,stale,Legobot,30.0
717275168,11238753,1,Nikola_Tesla/Nationality_and_ethnicity,20160426190114,20200703020120,stale,Legobot,1528.0
717314736,140377,1,Armenian_genocide,20160427000114,20180131100402,human_close,Galobtter,644.0
717374228,41568658,1,Glossary_of_video_game_terms,20160427090119,,open,,
717460491,1815454,1,Princess_Beatrice,20160427210114,20160527220116,stale,Legobot,30.0
717482158,37643972,1,2016_Democratic_Party_presidential_primaries,20160428000126,20160528000134,stale,Legobot,30.0
717562936,21986912,1,2016_United_States_presidential_election,20160428130118,20160630110119,stale,Legobot,62.0
717562946,46679528,1,Recall_of_MPs_Act_2015,20160428130121,20160528140123,stale,Legobot,30.0
717645753,5705227,1,Panini_(sandwich),20160428220112,20160528220125,stale,Legobot,30.0
717659151,418652,5,WikiProject_Ethnic_groups,20160429000110,20210403181103,human_close,TheSandDoctor,1800.0
717673221,168691,5,Username_policy,20160429020109,20160529020116,stale,Legobot,30.0
717714117,566791,1,Time_(Electric_Light_Orchestra_album),20160429090112,20160529080116,stale,Legobot,29.0
717774778,101556,1,Hillary_Clinton,20160429170109,,open,,
717816996,8195723,11,Anarchism_sidebar,20160429220114,20160529220129,stale,Legobot,30.0
717850243,6411961,1,Frank_Auerbach,20160430030114,20160530020128,stale,Legobot,29.0
717895970,4534004,1,Jean_Lapierre,20160430110114,20160530100121,stale,Legobot,29.0
717961918,7278871,1,1982_in_film,20160430190112,20160530190119,stale,Legobot,30.0
717961932,29027288,1,Second_law_of_thermodynamics,20160430190115,20160530180135,stale,Legobot,29.0
718052554,50231084,1,Sarah_Charles_Lewis,20160501080126,,open,,
718074211,910748,1,Republic_of_Venice,20160501110114,20160531100140,stale,Legobot,29.0
718080471,314918,1,Frisbee,20160501120115,,open,,
718101368,36010095,1,The_Art_of_the_Deal,20160501150119,20160531150121,stale,Legobot,30.0
718118602,5692261,1,Ted_Cruz,20160501170119,20160506210115,stale,Legobot,5.0
718144589,3995064,1,Top_Model_(Scandinavian_TV_series),20160501200115,20160531190122,stale,Legobot,29.0
718154016,50391221,1,2016_Stanley_Cup_Final,20160501210120,20160531210134,stale,Legobot,30.0
718224963,7556122,1,"Highland_High_School_(Palmdale,_California)",20160502080115,,open,,
718231011,26918802,1,2015_United_Kingdom_general_election,20160502090120,20160601090132,stale,Legobot,30.0
718255214,47752231,1,FET_y_de_las_JONS,20160502130118,,open,,
718278662,11395,1,Four_Noble_Truths,20160502160110,20160602170127,stale,Legobot,31.0
718286745,877218,1,Stanley_Milgram,20160502170112,20160601170116,stale,Legobot,30.0
718286756,50230847,1,Killing_of_Abdel_Fattah_al-Sharif,20160502170118,,open,,
718304243,24779694,1,Cayman_Islands,20160502190121,20160601190123,stale,Legobot,30.0
718321830,36099327,1,Full_Service_(book),20160502210118,20160601210128,stale,Legobot,30.0
718331670,4029417,1,YouTube,20160502220117,20160601220142,stale,Legobot,30.0
718366192,4942298,1,List_of_World_Snooker_Championship_winners,20160503030113,20160602020126,stale,Legobot,29.0
718378518,411973,5,Manual_of_Style/Japan-related_articles,20160503050109,20160602050116,stale,Legobot,30.0
718378527,3869767,5,Manual_of_Style/Korea-related_articles,20160503050113,20160602040120,stale,Legobot,29.0
718378530,26793736,5,Manual_of_Style/Words_to_watch,20160503050116,20160601130122,stale,Legobot,29.0
718390359,692357,1,Joseph_Conrad,20160503070113,20160602070118,stale,Legobot,30.0
718390364,2214823,1,Kosher_tax_conspiracy_theory,20160503070116,20160602060125,stale,Legobot,29.0
718407995,1278223,5,Noticeboard_for_India-related_topics,20160503100111,20220406161229,human_close,Viewsridge,2164.0
718419656,2359688,1,Internet_fraud,20160503120115,20160602120139,stale,Legobot,30.0
718434469,2869458,1,World_Open_(snooker),20160503140111,20160602140126,stale,Legobot,30.0
718434473,4718314,1,Area_of_a_circle,20160503140113,20160602140129,stale,Legobot,30.0
718451445,272820,1,European_Graduate_School,20160503160111,20160602170132,stale,Legobot,30.0
718459460,11395,1,Four_Noble_Truths,20160503170111,20160602170127,stale,Legobot,30.0
718515867,22882361,5,Revision_deletion,20160504000118,20160603000134,stale,Legobot,30.0
718628455,12520482,1,Multi-sport_event,20160504170120,20160603170119,stale,Legobot,29.0
718760270,50427360,1,Scranton_general_strike,20160505130118,,open,,
718815105,1890502,1,Hilton_Worldwide,20160505200112,20160604210121,stale,Legobot,30.0
718815117,17524322,5,Template_index/User_talk_namespace,20160505200116,20160604180123,stale,Legobot,29.0
718833222,20593600,1,Iran,20160505220116,20160604220133,stale,Legobot,30.0
718846646,24852,1,Potato_chips,20160506000112,20160605000129,stale,Legobot,30.0
718884698,6237942,5,WikiProject_Astronomy,20160506060120,20160506060121,stale,Legobot,0.0
718984974,6237942,5,WikiProject_Astronomy,20160506210118,20221030030112,stale,Legobot,2367.0
718998595,6237942,5,WikiProject_Astronomy,20160506230115,20221030030112,stale,Legobot,2367.0
719059086,4044291,1,Erfurt_school_massacre,20160507100117,,open,,
