node_id,wiki,page_id,title,namespace,qid,confidence,admitted_via,native,status_tier
enwiki:10622150,enwiki,10622150,Reference_desk/Guidelines/Medical_advice,4,,core,status_template,1,
enwiki:10794484,enwiki,10794484,Manual_of_Style/Novels,4,Q13599930,core,status_template,1,
enwiki:11003739,enwiki,11003739,Manual_of_Style/Indonesia-related_articles,4,Q61365434,core,status_template,1,
enwiki:11442989,enwiki,11442989,Categorizing_redirects,4,Q15100248,core,status_template,1,
enwiki:11446256,enwiki,11446256,Naming_conventions_(baseball_players),4,,core,status_template,1,
enwiki:12702485,enwiki,12702485,Manual_of_Style/India-related_articles,4,Q120690355,core,status_template,1,
enwiki:12856110,enwiki,12856110,Wikipedia_is_not_a_dictionary,4,Q11012189,core,status_template,1,
enwiki:12940458,enwiki,12940458,Manual_of_Style/Anime_and_manga,4,Q12125348,core,status_template,1,
enwiki:13010165,enwiki,13010165,Notability_(sports),4,Q11889803,core,status_template,1,
enwiki:13340194,enwiki,13340194,Manual_of_Style/Military_history,4,Q31202212,core,status_template,1,
enwiki:13399856,enwiki,13399856,Naming_conventions_(video_games),4,Q14394158,core,status_template,1,
enwiki:13410706,enwiki,13410706,Linking_to_external_harassment,4,Q97376331,core,status_template,1,
enwiki:13646211,enwiki,13646211,Naming_conventions_(Armenian),4,,core,status_template,1,
enwiki:13651139,enwiki,13651139,Responding_to_threats_of_harm,4,Q13627492,core,status_template,1,
enwiki:13971546,enwiki,13971546,Manual_of_Style/Malaysia-related_articles,4,Q29653429,core,wikidata,1,
enwiki:14244520,enwiki,14244520,WikiProject_Schools/Article_advice,4,Q19828005,core,iw_qid,0,
enwiki:14664589,enwiki,14664589,Manual_of_Style/Canada-related_articles,4,,core,status_template,1,
enwiki:14853924,enwiki,14853924,Manual_of_Style/Singapore-related_articles,4,,core,status_template,1,
enwiki:15221315,enwiki,15221315,IP_block_exemption,4,Q4048709,core,status_template,1,
enwiki:15606128,enwiki,15606128,No_legal_threats,4,Q4654415,core,status_template,1,
enwiki:15616951,enwiki,15616951,In_the_news/Recurring_items,4,Q16944948,core,status_template,1,
enwiki:15667332,enwiki,15667332,Overcategorization/User_categories,4,,core,status_template,1,
enwiki:16089740,enwiki,16089740,Manual_of_Style/Chemistry,4,Q15868551,core,status_template,1,
enwiki:16681788,enwiki,16681788,User_categories,4,Q28103285,core,status_template,1,
enwiki:16810391,enwiki,16810391,CheckUser,4,Q4049038,core,status_template,1,
enwiki:16819254,enwiki,16819254,Bot_policy,4,Q8639023,core,status_template,1,
enwiki:16882310,enwiki,16882310,Userboxes,4,Q4657797,core,status_template,1,
enwiki:17025356,enwiki,17025356,Notability_(geographic_features),4,Q11099031,core,status_template,1,
enwiki:17054975,enwiki,17054975,Disambiguation,4,Q118521146,core,status_template,1,
enwiki:17712549,enwiki,17712549,WikiProject_Aircraft/Naming,4,,core,status_template,1,
enwiki:17817592,enwiki,17817592,Global_rights_policy,4,Q15868233,core,status_template,1,
enwiki:18088626,enwiki,18088626,Edit_filter,4,Q4582485,core,status_template,1,
enwiki:18807112,enwiki,18807112,Notability_(events),4,Q7236489,core,status_template,1,
enwiki:19005456,enwiki,19005456,Spam,4,Q8915865,core,status_template,1,
enwiki:19389401,enwiki,19389401,Attack_page,4,Q14360533,core,status_template,1,
enwiki:19393620,enwiki,19393620,Manual_of_Style/Glossaries,4,Q103326994,core,iw_qid,0,
enwiki:19585516,enwiki,19585516,Naming_conventions_(law_enforcement_agency_categories),4,Q130223980,core,overview,1,
enwiki:19897450,enwiki,19897450,Manual_of_Style/Romanization_of_Ukrainian,4,Q15945171,core,status_template,1,
enwiki:20781576,enwiki,20781576,Manual_of_Style/Writing_about_fiction,4,Q11293678,core,status_template,1,
enwiki:20781735,enwiki,20781735,List_of_policies,4,Q12201154,core,overview,1,
enwiki:20786118,enwiki,20786118,Disruptive_editing,4,Q13409276,core,status_template,1,
enwiki:20822686,enwiki,20822686,Naming_conventions_(sportspeople),4,,core,status_template,1,
enwiki:20988867,enwiki,20988867,Text_of_the_GNU_Free_Documentation_License,4,Q5829664,core,iw_qid,0,
enwiki:21372545,enwiki,21372545,Arbitration_Committee/CheckUser_and_Oversight,4,Q19159640,core,status_template,1,
enwiki:21402789,enwiki,21402789,Reference_desk/Guidelines,4,Q135734799,core,status_template,1,
enwiki:21421849,enwiki,21421849,Manual_of_Style/Poland-related_articles,4,Q13606427,core,status_template,1,
enwiki:21438123,enwiki,21438123,Substitution,4,Q9079948,core,status_template,1,
enwiki:21438480,enwiki,21438480,Be_bold,4,Q3916099,core,status_template,1,
enwiki:21457036,enwiki,21457036,Manual_of_Style/Stringed_instrument_tunings,4,,core,status_template,1,
enwiki:22215651,enwiki,22215651,Manual_of_Style/Hidden_text,4,Q8615031,core,status_template,1,
enwiki:22686814,enwiki,22686814,Deceased_Wikipedians/Guidelines,4,Q14972682,core,status_template,1,
enwiki:22755284,enwiki,22755284,Naming_conventions_(West_Bank),4,,core,status_template,1,
enwiki:22880321,enwiki,22880321,Revision_deletion,4,Q4656800,core,status_template,1,
enwiki:23455461,enwiki,23455461,Manual_of_Style/Blazon,4,,core,status_template,1,
enwiki:24336286,enwiki,24336286,Copying_within_Wikipedia,4,Q10729797,core,status_template,1,
enwiki:24374899,enwiki,24374899,Naming_conventions_(broadcasting),4,,core,status_template,1,
enwiki:24498891,enwiki,24498891,Naming_conventions_(sports_teams),4,Q16243508,core,status_template,1,
enwiki:25225324,enwiki,25225324,Reliable_sources,4,Q4663914,core,status_template,1,
enwiki:25455885,enwiki,25455885,Wikimedia_policy,4,Q83699923,core,status_template,1,
enwiki:25816154,enwiki,25816154,Contentious_topics,4,Q16799070,core,overview,1,
enwiki:26445787,enwiki,26445787,Proposed_deletion_of_biographies_of_living_people,4,Q47013094,core,status_template,1,
enwiki:26803395,enwiki,26803395,Requests_for_undeletion,4,Q13429672,core,iw_qid,0,
enwiki:27124694,enwiki,27124694,Child_protection,4,Q11157638,core,status_template,1,
enwiki:27126470,enwiki,27126470,Naming_conventions_(Tibetan),4,Q4657259,core,status_template,1,
enwiki:27137897,enwiki,27137897,Manual_of_Style/Words_to_watch,4,Q4663975,core,status_template,1,
enwiki:27294115,enwiki,27294115,Naming_conventions_(US_stations),4,,core,status_template,1,
enwiki:27463705,enwiki,27463705,Record_charts,4,Q15868761,core,status_template,1,
enwiki:27560252,enwiki,27560252,Lists,4,Q13406463,core,iw_qid,0,
